Artist	Songtitle	Genre	Genre2		
Lenny Kravitz	Fly Away	Rock			
Level 42	Heaven in My Hands	Rock			
Level 42	Running in the Family				
Lewis Capaldi	Someone You Loved				
Limp Bizkit	Behind Blue Eyes	Rock			
Lionel Richie	Dancing On The Ceiling				
Logan Mize	American Dream	Country	Rock		
Logan Mize	Something Just Like This	Country	Rock		
Logan Mize	What I Love About You	Country	Rock		
Luke Bryan	Roller Coaster	Country			
Lynyrd Skynyrd	Free Bird	Country	Rock		
Lynyrd Skynyrd	Sweet Home Alabama	Rock			
Madcon	Don't Worry				
Madeline Merlo	War Paint	Country			
Madonna	Dress You Up				
Madonna	Holiday				
Madonna	La Isla Bonita				
Madonna	Live To Tell				
Madonna	Papa Don't Preach				
Marc Cohen	Walking In Memphis				
Mariah Carey	All I Want For Christmas				
Marillion	Kayleigh	Rock			
Mark Knopfler	What It Is	Rock			
Maroon 5	She Will Be Loved				
Maroon 5 feat. Wiz Khalifa	Payphone				
Mat Kearney	All I Have				
Metallica	Nothing Else Matters	Rock			
Michael Jackson	Beat It	Rock			
Michael Jackson	Billie Jean				
Michael Jackson	Dirty Diana	Rock			
Michael Jackson	Human Nature				
Michael Jackson	Man In The Mirror				
Michael Jackson	Thriller				
Midnight Oil	Beds Are Burning	Rock			
Mike + The Mechanics	Over My Shoulder	Rock			
Miley Cyrus	Flowers				
Miranda Lambert	The House That Built Me	Country			
Mr. Big	To Be With You	Rock			
Mr. Mister	Kyrie	Rock			
Mr. President	Coco Jambo	Dance			
Natalie Imbruglia	Torn				
Nate Smith	Bulletproof	Country	Rock		
Nate Smith	Fix What You Didn't Break	Country	Rock		
Nate Smith	Whiskey On You	Country	Rock		
Nickelback	How You Remind Me	Rock			
Nickelback	Photograph	Rock			
Nickelback	Rockstar	Rock			
Nirvana	Smells Like Teen Spirit	Rock			
Nirvana	Something In The Way	Rock			
Noah Kahan	Stick Season				
Oasis	Don't Look Back In Anger	Rock			
Oasis	Wonderwall	Rock			
Old Dominion	Snapback	Country			
Olivia Dean	Man I Need				
One Direction	Best Song Ever				
One Republic	Apologize				
Owl City	Fireflies				
Owl City	Not All Heroes Wear Capes				
Pat Greene	While I Was Away	Country			
Paul Mc Cartney	Once Upon a Long Ago	Rock			
Paul Simon	You Can Call Me Al				
Pet Shop Boys	Always on my mind				
Pet Shop Boys	Domino Dancing				
Pet Shop Boys	It's A Sin				
Pet Shop Boys	Suburbia				
Phil Collins	A Groovy Kind of Love				
Phil Collins	I Wish It Would Rain Down	Rock			
Phil Collins	In The Air Tonight	Rock			
Phil Collins	That?s Just The Way It Is				
Phil Collins	That’s Just The Way It Is				
Pink	What About Us				
Pink	Who Knew	Rock			
Pink Floyd	Another Brick In The Wall	Rock			
Pink Floyd	Comfortably Numb	Rock			
Pink Floyd	Wish You Were Here	Rock			
Post Malone feat. Morgan Wallen	I Had Some Help	Country			
Prince	Purple Rain	Rock			
Procol Harem	A Whiter Shade of Pale	Rock			
Queen	Crazy Little Thing Called Love	Rock			
Queen	I Want It All	Rock			
Queen	It's A Kind Of Magic	Rock			
Queen	Show Must Go On	Rock			
Queen	We Are The Champions	Rock			
R.E.M.	Everybody Hurts	Rock			
R.E.M.	Losing My Religion	Rock			
Ray Charles	Hit The Road Jack				
Red Hot Chili Peppers	Californication	Rock			
Red Hot Chili Peppers	Under The Bridge	Rock			
Richard Marx	Hazard	Rock			
Richard Marx	Right Here Waiting	Rock			
Rick James	Super Freak				
Robbie Williams	Feel				
Robbie Williams	Let Me Entertain You	Rock			
Rolling Stones	Paint It Black	Rock			
Roxette	Fading like a Flower	Rock			
Roxette	How Do You Do	Rock			
Roxette	Joyride	Rock			
Roxette	Listen to Your Heart	Rock			
Sabrina Carpenter	Taste				
Scorpions	Send Me An Angel	Rock			
Scorpions	Wind Of Change	Rock			
Seal	Crazy				
Seal	Kiss From A Rose				
Seth Alley	Things We Don't Talk About				
Shania Twain	You're Still The One	Country			
Shawn Mendes	Mercy				
Shawn Mendes	Senorita				
Shinedown	Call Me	Rock			
Shinedown	Get Up	Rock			
Sia	Snowman				
Simon and Garfunkel	Sound of Silence	Rock			
Simply Red	Something Got me Started				
Snap	Rhythm is a Dancer	Dance			
Snow Patrol	Chasing Cars	Rock			
Spandau Ballet	Through The Barricades	Rock			
Spice Girls	Wannabe				
Starship	Nothing's Gonna Stop Us	Rock			
Steve Miller Band	Abracadabra	Rock			
Steve Miller Band	The Joker	Rock			
Sting	Fields of Gold	Rock			
Supertramp	Give A Little Bit	Rock			
Survivor	Eye Of The Tiger	Rock			
Take That	Back For Good				
Taylor Swift	22				
Taylor Swift	All Too Well	Country			
Taylor Swift	Anti-Hero				
Taylor Swift	Back To December	Country			
Taylor Swift	Betty	Country			
Taylor Swift	Breathe	Country			
Taylor Swift	Cruel Summer				
Taylor Swift	Enchanted	Country			
Taylor Swift	Fate of Ophelia				
Taylor Swift	Fearless	Country			
Taylor Swift	Fifteen	Country			
Taylor Swift	Girl At Home	Country			
Taylor Swift	Love Story	Country			
Taylor Swift	Mean	Country			
Taylor Swift	Our Song	Country			
Taylor Swift	Ours	Country			
Taylor Swift	Red	Country	Rock		
Taylor Swift	So High School				
Taylor Swift	Sparks Fly	Country			
Taylor Swift	Speak Now	Country			
Taylor Swift	Stay	Country			
Taylor Swift	Teardrops on My Guitar	Country			
Taylor Swift	The Best Day	Country			
Taylor Swift	Today was a Fairytale	Country			
Taylor Swift	Treacherous	Country			
Taylor Swift	We Are Never Getting Back Together	Country			
Taylor Swift	When Emma falls in love				
Taylor Swift	Wildest Dreams				
Taylor Swift	You Belong With Me	Country			
Tears For Fears	Advice For The Young At Heart				
Teddy Swims	Lose Control				
The Animals	House Of The Rising Sun	Rock			
The Band Perry	If I Die Young	Country			
The Beatles	Let it Be	Rock			
The Beatles	Yesterday	Rock			
The Black Eyed Peas	Where Is the Love?				
The Cranberries	Zombie	Rock			
The Pretty Reckless	Take Me Down	Rock			
The Script	For the First Time	Rock			
The Script	Hall of Fame	Rock			
The Script	Superheroes	Rock			
The Script	Exit Wounds	Rock			
Tim McGraw	Humble And Kind	Country			
Tina Turner	The Best	Rock			
Tom Petty	Free Fallin'	Rock			
Tom Petty & The Heartbreakers	Learning To Fly	Rock			
Tom Petty & The Heartbreakers	Into The Great Wide Open	Rock			
